origin,destination,distance_km,origin_lat,origin_lon,destination_lat,destination_lon
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
